cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
0,black,292,703574,0.12161,0.05215,0.11023,0.04628
0,blue,292,2835964,0.39201,0.13485,0.65454,0.29563
0,brown,310,3462497,0.48653,0.14125,0.33577,0.13618
0,cyan,206,211863,0.31691,0.08671,0.45317,0.27772
0,gray,302,1410878,0.12412,0.05268,0.49557,0.20244
0,green,246,3357955,0.47089,0.1385,0.29017,0.13542
0,magenta,270,80075,0.30025,0.08359,0.23147,0.23463
0,orange,289,2163049,0.48191,0.14263,0.74444,0.12395
0,pink,286,444243,0.35629,0.10197,0.3732,0.33792
0,purple,276,106474,0.27082,0.07422,0.2546,0.22205
0,red,304,1718428,0.4648,0.175,0.42076,0.24168
0,white,288,878235,0.0882,0.06073,0.9414,0.03903
0,yellow,279,2054093,0.47168,0.14381,0.4199,0.1964
1,black,231,745414,0.07351,0.07189,0.06979,0.0569
1,blue,239,1227161,0.47927,0.20899,0.35486,0.25491
1,brown,275,1474006,0.50813,0.18328,0.37361,0.13866
1,cyan,197,117196,0.44421,0.19184,0.32628,0.20419
1,gray,273,2065372,0.10375,0.05765,0.62873,0.16694
1,green,212,240264,0.41636,0.18347,0.3136,0.21314
1,magenta,217,92525,0.37001,0.18506,0.13991,0.12674
1,orange,270,2342735,0.40706,0.15965,0.72178,0.11174
1,pink,249,254342,0.46576,0.21051,0.28328,0.19658
1,purple,216,199906,0.40694,0.20102,0.18289,0.17641
1,red,276,2364669,0.54527,0.20085,0.4998,0.23016
1,white,230,1594270,0.04886,0.05566,0.94358,0.0456
1,yellow,244,515548,0.36192,0.14846,0.64989,0.238
2,black,342,666148,0.12045,0.05543,0.11903,0.04867
2,blue,346,4439178,0.42098,0.15576,0.60302,0.29506
2,brown,361,1329149,0.43289,0.16047,0.34023,0.13952
2,cyan,280,404759,0.35936,0.13693,0.55249,0.31655
2,gray,357,4230013,0.10927,0.05417,0.54645,0.17958
2,green,282,579564,0.40816,0.16199,0.26462,0.16214
2,magenta,324,204060,0.29947,0.12,0.28332,0.23274
2,orange,358,1486582,0.38479,0.12886,0.75201,0.1201
2,pink,347,380133,0.33634,0.13116,0.31471,0.20086
2,purple,328,381961,0.30741,0.11184,0.26996,0.21219
2,red,362,1633964,0.43529,0.17232,0.44027,0.21504
2,white,352,1304769,0.09561,0.05569,0.92645,0.04504
2,yellow,325,423016,0.37871,0.1518,0.43329,0.2619
3,black,180,28425,0.11595,0.05482,0.14586,0.04651
3,blue,180,2734340,0.67719,0.13197,0.45527,0.21174
3,brown,180,1171467,0.40213,0.09597,0.44449,0.0722
3,cyan,163,3584,0.45726,0.22645,0.11657,0.10659
