path,filename,split_v2,cluster_k98,version,n_chromatic,achromatic_set,mean_chroma,mean_saturation,colorfulness
train/train/photography_102509.jpg,photography_102509.jpg,test,0,black|blue|brown,2,black,16.37,0.3849,53.24
train/train/photography_103030.jpg,photography_103030.jpg,val,0,black|blue|brown,2,black,16.86,0.4831,61.68
train/train/photography_103033.jpg,photography_103033.jpg,val,0,black|blue|brown,2,black,18.12,0.4568,64.26
train/train/photography_109939.jpg,photography_109939.jpg,train,0,black|blue|brown,2,black,16.89,0.3819,40.72
train/train/nature_20874.jpg,nature_20874.jpg,train,0,black|blue|gray,1,black|gray,13.94,0.2272,49.9
train/train/nature_20875.jpg,nature_20875.jpg,train,0,black|blue|gray,1,black|gray,13.83,0.2228,49.56
train/train/nature_20881.jpg,nature_20881.jpg,val,0,black|blue|gray,1,black|gray,10.84,0.248,32.11
train/train/industrial_21499.jpg,industrial_21499.jpg,train,0,black|blue|green,2,black,15.33,0.3533,46.44
val/val/industrial_21502.jpg,industrial_21502.jpg,train,0,black|blue|green,2,black,19.54,0.358,53.13
val/val/nature_19020.jpg,nature_19020.jpg,train,0,black|blue|green,2,black,15.33,0.3533,46.44
train/train/nature_19023.jpg,nature_19023.jpg,train,0,black|blue|green,2,black,19.54,0.358,53.13
train/train/photography_103137.jpg,photography_103137.jpg,train,0,black|blue|green,2,black,22.47,0.4569,45.94
val/val/photography_110084.jpg,photography_110084.jpg,val,0,black|blue|green,2,black,13.54,0.4002,33.77
train/train/photography_110088.jpg,photography_110088.jpg,train,0,black|blue|green,2,black,15.33,0.3533,46.44
train/train/photography_110091.jpg,photography_110091.jpg,train,0,black|blue|green,2,black,19.54,0.358,53.13
test/photography_103034.jpg,photography_103034.jpg,val,0,black|brown,1,black,13.31,0.4525,52.28
train/train/photography_104062.jpg,photography_104062.jpg,train,0,black|brown,1,black,12.09,0.3271,27.25
train/train/industrial_21133.jpg,industrial_21133.jpg,train,0,black|brown|gray,1,black|gray,13.79,0.4031,29.57
train/train/photography_101896.jpg,photography_101896.jpg,train,0,black|brown|gray,1,black|gray,13.79,0.4031,29.57
train/train/nature_19338.jpg,nature_19338.jpg,train,0,black|brown|green,2,black,11.24,0.3582,37.76
train/train/photography_102730.jpg,photography_102730.jpg,train,0,black|brown|white,1,black|white,15.01,0.3857,39.48
train/train/nature_20786.jpg,nature_20786.jpg,train,0,black|brown|yellow,2,black,17.09,0.3374,47.69
train/train/nature_18746.jpg,nature_18746.jpg,train,0,black|gray|green,1,black|gray,13.33,0.2518,41.5
train/train/photography_106708.jpg,photography_106708.jpg,train,0,black|gray|green,1,black|gray,13.33,0.2518,41.5
train/train/photography_110048.jpg,photography_110048.jpg,train,0,black|gray|red,1,black|gray,11.91,0.2105,38.5
train/train/industrial_21207.jpg,industrial_21207.jpg,val,0,black|green|yellow,2,black,12.04,0.268,33.78
train/train/industrial_21501.jpg,industrial_21501.jpg,train,0,black|green|yellow,2,black,16.27,0.2759,40.61
train/train/nature_19022.jpg,nature_19022.jpg,train,0,black|green|yellow,2,black,16.27,0.2759,40.61
train/train/nature_19402.jpg,nature_19402.jpg,test,0,black|green|yellow,2,black,18.31,0.3088,33.92
train/train/nature_21128.jpg,nature_21128.jpg,test,0,black|green|yellow,2,black,18.42,0.3103,34.49
train/train/photography_103919.jpg,photography_103919.jpg,val,0,black|green|yellow,2,black,12.04,0.268,33.78
train/train/photography_110090.jpg,photography_110090.jpg,train,0,black|green|yellow,2,black,16.27,0.2759,40.61
val/val/photography_105693.jpg,photography_105693.jpg,train,0,black|pink|red,2,black,8.64,0.2378,36.59
train/train/nature_18703.jpg,nature_18703.jpg,train,0,black|yellow,1,black,26.06,0.4299,48.84
train/train/photography_105881.jpg,photography_105881.jpg,train,0,black|yellow,1,black,26.06,0.4299,48.84
train/train/photography_102683.jpg,photography_102683.jpg,val,0,blue,1,,53.39,0.6506,96.15
train/train/photography_105574.jpg,photography_105574.jpg,test,0,blue,1,,30.46,0.3611,57.59
train/train/photography_109932.jpg,photography_109932.jpg,val,0,blue,1,,30.44,0.4286,49.17
train/train/industrial_21147.jpg,industrial_21147.jpg,train,0,blue|brown,2,,21.74,0.4562,55.79
val/val/industrial_21148.jpg,industrial_21148.jpg,train,0,blue|brown,2,,16.74,0.4854,40.32
train/train/nature_18599.jpg,nature_18599.jpg,train,0,blue|brown,2,,19.62,0.4919,45.93
train/train/nature_19054.jpg,nature_19054.jpg,train,0,blue|brown,2,,19.53,0.2988,44.07
train/train/photography_102572.jpg,photography_102572.jpg,train,0,blue|brown,2,,23.09,0.5099,55.22
train/train/photography_102673.jpg,photography_102673.jpg,train,0,blue|brown,2,,21.74,0.4562,55.79
train/train/photography_102674.jpg,photography_102674.jpg,train,0,blue|brown,2,,16.74,0.4854,40.32
test/photography_102740.jpg,photography_102740.jpg,train,0,blue|brown,2,,11.58,0.3089,35.51
train/train/photography_102741.jpg,photography_102741.jpg,train,0,blue|brown,2,,13.57,0.342,39.2
train/train/photography_103024.jpg,photography_103024.jpg,val,0,blue|brown,2,,19.56,0.6117,52.44
test/photography_103086.jpg,photography_103086.jpg,train,0,blue|brown,2,,19.62,0.4919,45.93
train/train/photography_103308.jpg,photography_103308.jpg,train,0,blue|brown,2,,19.03,0.3322,43.59
train/train/photography_104323.jpg,photography_104323.jpg,train,0,blue|brown,2,,16.21,0.3375,44.27
train/train/photography_108189.jpg,photography_108189.jpg,val,0,blue|brown,2,,17.35,0.3466,63.15
train/train/photography_108275.jpg,photography_108275.jpg,train,0,blue|brown,2,,18.75,0.3578,47.17
train/train/photography_109912.jpg,photography_109912.jpg,train,0,blue|brown,2,,35.85,0.5165,69.62
test/photography_110031.jpg,photography_110031.jpg,test,0,blue|brown,2,,16.53,0.3283,37.79
train/train/photography_66380.jpg,photography_66380.jpg,val,0,blue|brown,2,,11.94,0.4202,33.43
train/train/industrial_21172.jpg,industrial_21172.jpg,train,0,blue|brown|gray,2,gray,15.02,0.339,35.67
train/train/nature_20873.jpg,nature_20873.jpg,train,0,blue|brown|gray,2,gray,12.78,0.2654,41.72
val/val/photography_101626.jpg,photography_101626.jpg,train,0,blue|brown|gray,2,gray,15.33,0.3234,37.89
train/train/photography_102646.jpg,photography_102646.jpg,train,0,blue|brown|gray,2,gray,16.09,0.3343,42.99
train/train/photography_102801.jpg,photography_102801.jpg,train,0,blue|brown|gray,2,gray,15.02,0.339,35.67
train/train/photography_104322.jpg,photography_104322.jpg,train,0,blue|brown|gray,2,gray,13.56,0.2322,37.25
train/train/photography_109928.jpg,photography_109928.jpg,train,0,blue|brown|gray,2,gray,15.33,0.3663,47.4
train/train/photography_28039.jpg,photography_28039.jpg,train,0,blue|brown|gray,2,gray,12.97,0.2895,39.01
train/train/photography_31651.jpg,photography_31651.jpg,train,0,blue|brown|gray,2,gray,15.42,0.2988,42.18
train/train/nature_15501.jpg,nature_15501.jpg,train,0,blue|brown|green,3,,20.67,0.4487,56.2
train/train/photography_101714.jpg,photography_101714.jpg,val,0,blue|brown|green,3,,18.22,0.3674,40.68
train/train/photography_28171.jpg,photography_28171.jpg,train,0,blue|brown|green,3,,18.99,0.4317,45.98
train/train/industrial_21350.jpg,industrial_21350.jpg,train,0,blue|brown|orange,3,,19.8,0.3399,48.95
train/train/industrial_21364.jpg,industrial_21364.jpg,val,0,blue|brown|orange,3,,31.64,0.5046,79.96
train/train/nature_18707.jpg,nature_18707.jpg,train,0,blue|brown|orange,3,,17.17,0.3678,45.41
train/train/nature_19878.jpg,nature_19878.jpg,val,0,blue|brown|orange,3,,18.02,0.4041,48.32
test/nature_19879.jpg,nature_19879.jpg,train,0,blue|brown|orange,3,,16.83,0.3841,46.21
