cluster_k98,version,n_colors,n_chromatic,achromatic_set,count,n_train,n_val,n_test,mean_chroma,std_chroma,mean_saturation,std_saturation,mean_colorfulness
16,blue|gray|white,3,1,gray|white,232,170,44,18,15.003,2.108,0.2217,0.0216,48.616
10,blue|gray,2,1,gray,167,127,39,1,16.874,5.387,0.279,0.0778,51.424
10,blue|gray|white,3,1,gray|white,155,110,26,19,18.82,5.199,0.284,0.0743,54.898
8,brown|gray|white,3,1,gray|white,135,97,26,12,11.884,1.435,0.3967,0.0412,33.275
2,blue|gray,2,1,gray,117,85,24,8,15.301,3.603,0.2785,0.064,48.25
25,blue|brown|gray,3,2,gray,107,81,10,16,15.533,3.541,0.3135,0.0549,51.943
45,black|brown|orange,3,2,black,100,73,17,10,13.661,2.659,0.3119,0.0592,47.734
33,cyan|green|yellow,3,3,,98,55,28,15,28.693,4.716,0.4378,0.0782,83.958
42,brown|gray|green,3,2,gray,96,90,3,3,17.118,1.686,0.3697,0.0381,39.359
22,cyan|green|yellow,3,3,,92,74,16,2,28.127,5.046,0.4755,0.081,78.378
30,blue|gray|green,3,2,gray,92,68,16,8,19.057,4.301,0.34,0.0601,52.804
9,brown|gray|orange,3,2,gray,90,66,18,6,15.073,3.073,0.3429,0.0628,41.839
20,blue|gray,2,1,gray,87,61,12,14,14.916,3.65,0.2733,0.0649,54.499
7,gray|red,2,1,gray,85,51,27,7,21.49,8.786,0.2997,0.0901,74.71
97,brown|gray|orange,3,2,gray,82,62,11,9,17.668,3.316,0.3298,0.0546,45.977
56,brown|orange,2,2,,79,57,11,11,25.686,2.887,0.4341,0.054,45.871
11,blue|gray|orange,3,2,gray,78,55,17,6,21.317,5.425,0.4189,0.0818,59.277
30,gray|green|red,3,2,gray,78,54,16,8,17.908,4.026,0.3591,0.0604,42.863
49,brown|gray|orange,3,2,gray,78,53,19,6,15.505,3.259,0.3386,0.0651,43.036
56,orange,1,1,,76,49,21,6,28.606,3.259,0.4336,0.0653,49.183
3,blue|brown|yellow,3,3,,75,50,16,9,31.286,4.039,0.4985,0.0464,62.617
38,brown|gray|orange,3,2,gray,74,48,15,11,16.59,2.941,0.3177,0.0606,41.654
5,blue|gray,2,1,gray,73,57,16,0,21.064,5.82,0.3698,0.1176,63.082
20,blue|gray|green,3,2,gray,72,48,16,8,18.043,4.886,0.3142,0.0725,53.293
9,brown|gray|red,3,2,gray,71,50,10,11,12.953,2.926,0.3568,0.0544,35.49
88,brown|gray|orange,3,2,gray,70,49,14,7,15.405,3.109,0.3452,0.0578,45.776
30,gray|green|white,3,1,gray|white,69,46,17,6,16.56,3.09,0.3003,0.0593,41.034
84,cyan|green|yellow,3,3,,69,48,16,5,28.79,4.407,0.4575,0.0866,83.862
18,blue|gray,2,1,gray,68,50,12,6,16.189,4.394,0.3216,0.0636,46.667
21,brown|gray|orange,3,2,gray,68,52,13,3,14.47,2.995,0.254,0.0427,42.778
25,blue|brown|orange,3,3,,65,44,19,2,21.418,3.314,0.4327,0.0663,58.579
10,blue|gray|orange,3,2,gray,64,50,9,5,22.797,6.715,0.3545,0.0935,71.352
92,brown|gray|white,3,1,gray|white,63,46,12,5,10.731,1.318,0.2333,0.0289,38.017
16,gray|orange|white,3,1,gray|white,62,40,15,7,13.255,1.713,0.2208,0.0183,43.006
54,gray|red|white,3,1,gray|white,62,44,13,5,23.445,5.503,0.3296,0.0782,87.534
54,brown|orange|red,3,3,,62,42,14,6,27.981,5.841,0.5332,0.0901,84.117
64,brown|orange|red,3,3,,61,44,9,8,17.258,5.442,0.4285,0.0888,38.754
16,blue|orange|white,3,2,white,60,45,9,6,14.19,1.467,0.2344,0.0171,47.949
4,gray|red|white,3,1,gray|white,59,42,9,8,19.578,4.845,0.2673,0.0596,66.789
25,blue|gray,2,1,gray,59,34,23,2,16.16,4.756,0.3061,0.0783,54.157
