cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
0,black,338,825058,0.12276,0.05256,0.11292,0.0468
0,blue,336,3131641,0.39157,0.13611,0.63517,0.3021
0,brown,360,3611832,0.48452,0.14286,0.33663,0.13609
0,cyan,254,348900,0.34979,0.14036,0.46105,0.28079
0,gray,354,2076499,0.11913,0.05432,0.53166,0.2061
0,green,294,3729390,0.46101,0.14094,0.30111,0.14419
0,magenta,305,83691,0.30163,0.0907,0.22955,0.23277
0,orange,336,2325664,0.47426,0.14539,0.74247,0.12305
0,pink,323,456568,0.35479,0.10282,0.36957,0.3346
0,purple,310,114918,0.27765,0.09008,0.24346,0.21805
0,red,344,1783363,0.4625,0.17648,0.41892,0.24034
0,white,339,1259282,0.08808,0.05904,0.93683,0.04284
0,yellow,325,2273034,0.46358,0.14667,0.42798,0.19944
1,black,1292,14486227,0.00969,0.03669,0.01052,0.0364
1,blue,1282,3703449,0.54035,0.25588,0.31535,0.24162
1,brown,1413,7735010,0.51371,0.17584,0.39803,0.12027
1,cyan,1190,971056,0.51512,0.24713,0.31932,0.19481
1,gray,1409,9020575,0.10708,0.05595,0.61832,0.1861
1,green,1258,1695282,0.46434,0.19271,0.33863,0.1898
1,magenta,1173,269529,0.48096,0.27606,0.16795,0.16602
1,orange,1346,12271225,0.45365,0.1853,0.72803,0.10905
1,pink,1276,849428,0.60849,0.26853,0.42059,0.23969
1,purple,1180,415898,0.45333,0.25122,0.23275,0.23818
1,red,1382,7959874,0.59897,0.21003,0.48927,0.21111
1,white,819,6131544,0.06471,0.06015,0.93367,0.04603
1,yellow,1345,2646039,0.43875,0.19274,0.58476,0.22269
2,black,832,3976095,0.14555,0.04803,0.13247,0.03977
2,blue,832,10362507,0.35532,0.15216,0.4523,0.30824
2,brown,809,2896727,0.4122,0.16629,0.32868,0.13953
2,cyan,713,777019,0.34617,0.14357,0.51205,0.3014
2,gray,865,13232099,0.09903,0.05421,0.56742,0.18883
2,green,676,1357317,0.38106,0.15691,0.2726,0.16827
2,magenta,687,277520,0.32477,0.15395,0.26126,0.21529
2,orange,759,2154526,0.37192,0.13,0.73406,0.11838
2,pink,734,495199,0.34346,0.13983,0.3062,0.19789
2,purple,766,685972,0.32758,0.1205,0.2808,0.1929
2,red,796,2189222,0.42497,0.17314,0.42072,0.21073
2,white,857,5098501,0.05908,0.05603,0.94275,0.05056
2,yellow,747,1287824,0.37442,0.15547,0.42485,0.2432
3,black,194,28452,0.11598,0.05481,0.14587,0.04651
3,blue,207,2907389,0.68355,0.13605,0.47576,0.22414
3,brown,203,1171545,0.40212,0.09597,0.44448,0.07221
3,cyan,222,2187637,0.71772,0.11732,0.68613,0.12594
3,gray,239,560495,0.14555,0.04098,0.45096,0.13768
3,green,239,376705,0.26982,0.05819,0.42137,0.11817
3,magenta,174,6273,0.55425,0.23553,0.09589,0.07364
3,orange,177,416606,0.45541,0.09431,0.63033,0.06526
3,pink,165,6273,0.5245,0.19219,0.08612,0.07752
3,purple,180,312733,0.74172,0.17911,0.18972,0.07532
3,red,168,18568,0.46493,0.14209,0.13199,0.09182
3,white,141,9390,0.10467,0.04531,0.90778,0.04283
3,yellow,233,762350,0.31159,0.07999,0.4237,0.11194
4,black,282,113712,0.12096,0.05226,0.14673,0.03809
4,blue,310,1255623,0.53917,0.18638,0.51208,0.17588
4,brown,345,1133746,0.48659,0.1824,0.40063,0.10705
4,cyan,249,583820,0.45623,0.18975,0.56861,0.18506
4,gray,351,4735466,0.09831,0.05455,0.62357,0.15918
4,green,278,438100,0.41452,0.20669,0.48871,0.24729
4,magenta,156,30965,0.32739,0.06961,0.48416,0.14167
4,orange,349,2291358,0.34958,0.15573,0.78098,0.11292
4,pink,224,61998,0.46662,0.18507,0.54977,0.18919
4,purple,176,61112,0.41705,0.09963,0.42838,0.14141
4,red,314,1734154,0.70787,0.19104,0.58924,0.16199
4,white,336,2950940,0.11187,0.05756,0.93423,0.04244
4,yellow,332,1854702,0.35379,0.15481,0.70958,0.18949
5,black,522,207192,0.11629,0.05274,0.13897,0.04212
5,blue,651,5826532,0.66714,0.26136,0.49813,0.17375
5,brown,692,2038079,0.4768,0.20709,0.36706,0.13408
5,cyan,588,1276665,0.64556,0.27736,0.49955,0.17606
5,gray,711,7506024,0.11825,0.04857,0.60371,0.1553
5,green,628,1794343,0.57428,0.26949,0.46951,0.16949
5,magenta,573,131080,0.43532,0.19152,0.32179,0.15978
5,orange,701,4400442,0.48822,0.2635,0.7567,0.13361
5,pink,627,321802,0.56355,0.28035,0.51953,0.27332
5,purple,594,415473,0.43674,0.18991,0.36278,0.15914
5,red,689,3015250,0.69439,0.2583,0.63404,0.22828
5,white,593,2501627,0.08555,0.05242,0.93714,0.04813
5,yellow,673,3640691,0.60078,0.27292,0.71803,0.19572
6,black,329,1542945,0.13845,0.05123,0.12041,0.04581
6,blue,342,5479731,0.38966,0.14506,0.59684,0.29312
6,brown,337,1680081,0.45095,0.16413,0.29059,0.15118
6,cyan,282,710110,0.43361,0.20505,0.74294,0.29299
6,gray,365,3311725,0.10707,0.05545,0.56867,0.1983
6,green,297,2025617,0.43136,0.15241,0.29257,0.16132
6,magenta,273,161654,0.30115,0.1022,0.26213,0.20645
6,orange,315,603064,0.41969,0.15626,0.72268,0.12307
6,pink,281,291996,0.32787,0.10379,0.31958,0.21444
6,purple,304,323676,0.29373,0.08463,0.30871,0.2444
6,red,315,1110592,0.4328,0.16402,0.32377,0.22581
6,white,351,1796181,0.06749,0.05903,0.94489,0.04785
6,yellow,320,1410628,0.43267,0.14897,0.4085,0.21686
7,black,545,1318242,0.08306,0.07099,0.08305,0.05851
7,blue,526,3651767,0.51812,0.22237,0.40814,0.2407
7,brown,654,1755857,0.49952,0.19892,0.33683,0.15413
7,cyan,452,926913,0.4846,0.17546,0.38237,0.256
7,gray,684,8904757,0.07643,0.05536,0.63668,0.16709
7,green,452,789895,0.47648,0.19785,0.28879,0.2149
7,magenta,460,210750,0.50195,0.19412,0.40692,0.29485
7,orange,627,3438802,0.44762,0.20767,0.7707,0.12009
7,pink,563,738278,0.6223,0.22961,0.56909,0.27169
7,purple,455,262064,0.41549,0.17132,0.22633,0.17726
7,red,656,5477741,0.70138,0.21444,0.59082,0.24042
7,white,608,5404017,0.04021,0.05015,0.93902,0.05045
7,yellow,547,775445,0.44928,0.20828,0.56135,0.31243
8,black,190,43962,0.12207,0.0513,0.1373,0.04323
8,blue,194,444623,0.34026,0.17564,0.60323,0.27012
8,brown,193,5115285,0.59662,0.13278,0.22123,0.07052
8,cyan,166,8534,0.33918,0.11696,0.47804,0.23089
8,gray,194,2108018,0.09019,0.05322,0.62609,0.15685
8,green,101,21446,0.33952,0.09197,0.46378,0.13053
8,magenta,178,4204,0.30142,0.09167,0.15399,0.08528
8,orange,185,207922,0.34919,0.13143,0.68352,0.08581
8,pink,186,14018,0.32043,0.10251,0.25841,0.20224
8,purple,183,7211,0.31348,0.10501,0.16409,0.1161
8,red,193,542800,0.5531,0.18771,0.41163,0.27813
8,white,193,1321103,0.05903,0.06366,0.93897,0.0505
8,yellow,182,115946,0.36478,0.10442,0.566,0.13424
9,black,715,2181191,0.12542,0.06082,0.11722,0.05059
9,blue,681,3364347,0.42252,0.21123,0.30822,0.23788
9,brown,703,7894302,0.52937,0.19644,0.3267,0.1376
9,cyan,603,455877,0.43844,0.21275,0.34931,0.24433
9,gray,736,8124953,0.10022,0.05589,0.54708,0.18433
9,green,619,1409936,0.37047,0.15799,0.23052,0.18241
9,magenta,605,196702,0.35947,0.16213,0.23746,0.18319
9,orange,685,4151382,0.459,0.18885,0.72831,0.12545
9,pink,662,543987,0.40486,0.18132,0.30029,0.25028
9,purple,623,319755,0.34852,0.15771,0.28621,0.23994
9,red,705,4242737,0.55128,0.22281,0.32566,0.22213
9,white,717,2572149,0.05625,0.0564,0.94663,0.05018
9,yellow,667,1243610,0.39227,0.17823,0.49088,0.28052
10,black,693,793386,0.09998,0.05314,0.1334,0.03685
10,blue,758,7646333,0.46799,0.13967,0.63802,0.17654
10,brown,762,1464525,0.47592,0.162,0.3952,0.11611
10,cyan,600,607545,0.3794,0.10133,0.61329,0.19103
10,gray,765,10309445,0.05727,0.05736,0.70794,0.14586
10,green,597,1176513,0.46668,0.16065,0.47829,0.1539
10,magenta,412,155210,0.47706,0.21293,0.48954,0.19213
10,orange,761,3420024,0.58136,0.20555,0.74877,0.1088
10,pink,555,734621,0.52815,0.17169,0.64553,0.15255
10,purple,459,151409,0.35463,0.13798,0.41381,0.18325
