split,metric,p2,p5,p10,p25,p50,p75,p90,p95,p98,mean,std,min,max,n
all,mean_chroma,4.8,5.93,7.47,11.16,15.66,21.79,28.94,34.24,42.3396,17.4227,9.2174,1.08,93.0,80853
all,mean_saturation,0.1397,0.1569,0.18,0.2284,0.3045,0.4003,0.5128,0.5891,0.6758,0.3286,0.134,0.0754,0.9893,80853
all,colorfulness,12.42,16.51,21.262,32.24,43.12,58.79,79.11,93.48,111.0688,47.5774,23.5097,2.34,191.11,80853
train,mean_chroma,4.8,5.94,7.5,11.17,15.69,21.75,28.94,34.2,42.3826,17.4267,9.2058,1.08,93.0,56688
train,mean_saturation,0.1397,0.1572,0.1802,0.2287,0.3051,0.3996,0.513,0.59,0.6754,0.3287,0.134,0.0754,0.9828,56688
train,colorfulness,12.44,16.53,21.31,32.3675,43.2,58.68,79.0,93.6265,111.9726,47.6191,23.52,2.34,188.45,56688
val,mean_chroma,4.8022,5.92,7.36,11.1,15.58,21.8325,28.86,34.3745,42.2246,17.394,9.2908,1.59,89.16,16012
val,mean_saturation,0.1392,0.1562,0.1792,0.228,0.3031,0.4017,0.5123,0.5871,0.6754,0.3281,0.134,0.0934,0.9893,16012
val,colorfulness,12.3822,16.52,21.081,31.9475,42.85,58.74,78.998,93.349,109.81,47.3542,23.4376,2.51,186.78,16012
test,mean_chroma,4.86,5.936,7.47,11.19,15.66,22.0,29.098,34.372,41.9856,17.452,9.1537,1.47,89.56,8153
test,mean_saturation,0.1412,0.156,0.1794,0.2278,0.3033,0.4012,0.5134,0.5844,0.6781,0.3287,0.1342,0.0817,0.9605,8153
test,colorfulness,12.462,16.41,21.37,32.1,43.08,59.59,79.88,92.202,108.06,47.7263,23.5769,3.33,191.11,8153
