cluster_k98,version,n_colors,n_chromatic,achromatic_set,count,n_train,n_val,n_test,mean_chroma,std_chroma,mean_saturation,std_saturation,mean_colorfulness
24,black|blue|gray,3,1,black|gray,1482,1044,294,144,6.59,2.027,0.1761,0.034,19.753
24,blue|gray|white,3,1,gray|white,608,425,122,61,7.323,4.447,0.1677,0.0589,22.696
97,black|blue|gray,3,1,black|gray,453,316,92,45,6.898,2.061,0.1884,0.04,22.09
42,blue|gray,2,1,gray,424,391,23,10,18.344,3.005,0.383,0.0755,49.088
29,black|blue|gray,3,1,black|gray,397,278,79,40,6.502,2.183,0.1791,0.0379,18.967
97,brown|gray|orange,3,2,gray,311,225,53,33,16.517,4.032,0.3099,0.0655,42.879
69,brown|gray|orange,3,2,gray,263,188,51,24,18.998,5.273,0.3582,0.0881,50.966
24,black|gray|white,3,0,black|gray|white,247,172,51,24,7.401,2.338,0.1732,0.033,24.233
16,blue|gray|white,3,1,gray|white,232,170,44,18,15.003,2.108,0.2217,0.0216,48.616
1,black|orange,2,1,black,219,158,42,19,16.873,8.944,0.2668,0.1206,51.926
69,brown|gray|red,3,2,gray,219,150,47,22,15.263,4.249,0.3608,0.0885,42.371
2,blue|gray|white,3,1,gray|white,210,147,46,17,9.383,3.684,0.2003,0.0607,27.577
33,cyan|green|yellow,3,3,,209,119,59,31,28.876,4.683,0.4418,0.0785,83.677
84,cyan|green|yellow,3,3,,197,136,43,18,28.639,4.56,0.4384,0.0821,83.997
24,black|brown|gray,3,1,black|gray,193,134,40,19,8.472,2.445,0.2497,0.0429,30.338
97,black|brown|gray,3,1,black|gray,183,128,35,20,9.145,2.28,0.2553,0.0362,33.066
24,black|blue|white,3,1,black|white,182,128,36,18,7.581,2.351,0.1828,0.0359,22.328
69,black|blue|gray,3,1,black|gray,179,125,36,18,7.462,2.4,0.204,0.0438,23.967
2,blue|gray,2,1,gray,178,128,37,13,14.331,3.759,0.2664,0.066,44.736
22,cyan|green|yellow,3,3,,175,139,31,5,28.592,5.038,0.4839,0.0812,78.682
69,brown|orange|red,3,3,,174,122,39,13,26.072,6.953,0.5076,0.1017,59.554
